rikishi1,odds1,rikishi2,odds2
Kakuryu,3.2,Kisenosato,1.3
Aminishiki,1.65,Masunoyama,2.1
Kotoshogiku,2.3,Goeido,1.55
Toyonoshima,1.72,Tochiozan,2
Daido,1.85,Homasho,1.85
Hakuho,1.5,Harumafuji,2.4
Myogiryu,2.2,Kyokutenho,1.6
Toyohibiki,1.85,Kotooshu,1.85
Kakuryu,1.6,Aminishiki,2.2
Tochiozan,1.95,Kotooshu,1.75
Masunoyama,4,Kisenosato,1.2
Tochinoshin,1.72,Homasho,2
Shohozan,2.4,Goeido,1.5
Myogiryu,5,Harumafuji,1.14
Takekaze,1.85,Kaisei,1.85
Kotooshu,1.4,Kisenosato,2.7
Toyonoshima,3.8,Harumafuji,1.22
Takayasu,1.72,Kaisei,2
Kotoshogiku,1.4,Masunoyama,2.75
Myogiryu,2.2,Shohozan,1.6
Okinoumi,2.2,Tochiozan,1.6
Hakuho,1.14,Goeido,5
Kakuryu,1.22,Takekaze,3.8
Aminishiki,2.1,Homasho,1.65
Hakuho,1.11,Myogiryu,5.5
Goeido,3.2,Harumafuji,1.3
Homasho,2.75,Kotooshu,1.4
Kakuryu,1.25,Tochinoshin,3.6
Aoiyama,2.55,Kisenosato,1.45
Kotoshogiku,1.4,Shohozan,2.75
Aminishiki,2.1,Okinoumi,1.65
Toyohibiki,2.4,Tochiozan,1.5
Aminishiki,2.4,Tochiozan,1.5
Homasho,2.65,Goeido,1.42
Myogiryu,2.4,Kisenosato,1.5
Okinoumi,2.4,Kotooshu,1.5
Shohozan,1.5,Kaisei,2.4
Kakuryu,2.05,Kotoshogiku,1.7
Takekaze,5.8,Harumafuji,1.1
Takayasu,1.85,Toyohibiki,1.85
Hakuho,1.07,Tochinoshin,6.8
Hakuho,1.1,Shohozan,5.8
Kakuryu,1.65,Kotooshu,2.1
Tochinoshin,5,Harumafuji,1.14
Toyohibiki,2.2,Takekaze,1.6
Kotoshogiku,1.18,Aminishiki,4.25
Myogiryu,1.9,Okinoumi,1.8
Takayasu,2.3,Tochiozan,1.55
Kyokutenho,1.72,Masunoyama,2
Goeido,3.2,Kisenosato,1.3
Kaisei,1.65,Homasho,2.1
Takekaze,3.2,Goeido,1.3
Kotoshogiku,1.25,Tochinoshin,3.6
Kaisei,5.8,Harumafuji,1.1
Shohozan,2.95,Kisenosato,1.35
Hakuho,1.08,Homasho,6.5
Myogiryu,1.72,Tochiozan,2
Aoiyama,1.72,Toyonoshima,2
Takayasu,2.45,Masunoyama,1.5
Kakuryu,1.45,Okinoumi,2.55
Aminishiki,2.4,Kotooshu,1.5
Kakuryu,1.5,Homasho,2.4
Tochinoshin,1.85,Masunoyama,1.85
Takekaze,2.4,Kotooshu,1.5
Kotoshogiku,1.5,Okinoumi,2.4
Aminishiki,1.95,Goeido,1.75
Tochiozan,2.95,Kisenosato,1.35
Hakuho,1.1,Kaisei,5.8
Myogiryu,1.5,Takayasu,2.4
Aran,1.5,Toyohibiki,2.4
Shohozan,5,Harumafuji,1.14
Hakuho,1.11,Okinoumi,5.5
Takayasu,1.8,Gagamaru,1.91
Tochiozan,3.6,Harumafuji,1.25
Homasho,2.2,Kisenosato,1.6
Kakuryu,1.72,Shohozan,2
Tochinoshin,2.4,Kotooshu,1.5
Kyokutenho,1.85,Takekaze,1.85
Kotoshogiku,1.42,Kaisei,2.65
Myogiryu,1.72,Aminishiki,2
Hakuho,1.12,Tochiozan,5.3
Kakuryu,1.5,Kaisei,2.45
Tochinoshin,2,Goeido,1.72
Masunoyama,1.65,Takekaze,2.1
Kotoshogiku,1.3,Homasho,3.2
Aminishiki,2.75,Kisenosato,1.4
Takayasu,2.1,Aoiyama,1.65
Baruto,1.57,Shohozan,2.25
Myogiryu,2.4,Kotooshu,1.5
Okinoumi,5,Harumafuji,1.14
Kakuryu,1.3,Goeido,3.2
Okinoumi,4,Kisenosato,1.2
Kotoshogiku,1.65,Tochiozan,2.1
Aoiyama,1.72,Masunoyama,2
Shohozan,2.1,Kotooshu,1.65
Baruto,1.72,Kaisei,2
Myogiryu,1.6,Tochinoshin,2.2
Homasho,5,Harumafuji,1.14
Hakuho,1.1,Aminishiki,5.8
